api,분류,인자명(변수명),의미,설명
ASOS일조회,요청인자,tm,년월일시분(KST)년월일(KST),해당 시간 (없으면 현재시간)
ASOS일조회,요청인자,stn,지점번호,해당 지점들(:로 구분)의 정보 표출 (0 이거나 없으면 전체지점)
ASOS일조회,요청인자,disp,표출,"0(빈칸없는 CSV파일), 1(일정 간격)"
ASOS일조회,요청인자,help,도움말추가,1 이면 필드에 대한 약간의 도움말 추가 (0 이거나 없으면 없음)
ASOS일조회,요청인자,authKey,인증키,발급된 API 인증키
ASOS기간조회,요청인자,tm,년월일시분(KST)년월일(KST),해당 시간 (없으면 현재시간)
ASOS기간조회,요청인자,tm1,년월일시분(KST)년월일(KST),기간: 시작시간 또는 시작일 (없으면 현재시간)
ASOS기간조회,요청인자,tm2,년월일시분(KST)년월일(KST),기간: 종료시간 또는 종료일 (없으면 현재시간)
ASOS기간조회,요청인자,obs,관측종류,"TA(기온), TD(이슬점온도), HM(습도), PV(증기압), PA(현지기압), PS(해면기압), CA_TOT(전운량), CA_MID(중하층운량), CH_MIN(최저온고(100m)),CT(운형(통계표)), VS(시정(10m)), TS(지면온도)"
ASOS기간조회,요청인자,stn,지점번호,해당 지점들(:로 구분)의 정보 표출 (0 이거나 없으면 전체지점)
ASOS기간조회,요청인자,help,도움말추가,1 이면 필드에 대한 약간의 도움말 추가 (0 이거나 없으면 없음)
ASOS기간조회,요청인자,mode,기타,"0:해독결과만 표출, 1:기사도 표출, 2:기사만 표출"
ASOS기간조회,요청인자,authKey,인증키,발급된 API 인증키
ASOS일조회,출력결과,TM,관측시각 (KST),
ASOS일조회,출력결과,RN_DAY,위 관측시간까지의 일강수량 (mm),
ASOS일조회,출력결과,WS_AVG,일 평균 풍속 (m/s),
ASOS일조회,출력결과,WD_MAX,최대풍향,
ASOS일조회,출력결과,WS_MAX_TM,최대풍속 시각 (시분),
ASOS일조회,출력결과,WS_INS,최대순간풍속 (m/s),
ASOS일조회,출력결과,TA_AVG,일 평균기온 (C),
ASOS일조회,출력결과,TA_MAX_TM,최고기온 시가 (시분),
ASOS일조회,출력결과,TA_MIN_TM,최저기온 시각 (시분),
ASOS일조회,출력결과,TS_AVG,일 평균 지면온도 (C),
ASOS일조회,출력결과,HM_AVG,일 평균 상대습도 (%),
ASOS일조회,출력결과,HM_MIN_TM,최저습도 시각 (시분),
ASOS일조회,출력결과,EV_S,소형 증발량 (mm),
ASOS일조회,출력결과,FG_DUR,안개계속시간 (hr),
ASOS일조회,출력결과,PS_AVG,일 평균 해면기압 (hPa),
ASOS일조회,출력결과,PS_MAX_TM,최고 해면기압 시각 (시분),
ASOS일조회,출력결과,PS_MIN_TM,최저 해면기압 시각 (시분),
ASOS일조회,출력결과,SS_DUR,가조시간 (hr),
ASOS일조회,출력결과,SI_DAY,일사합 (MJ/m2),
ASOS일조회,출력결과,RN_DUR,강수계속시간 (hr),
ASOS일조회,출력결과,SD_NEW_TM,최심 신적설 시각 (시분),
ASOS일조회,출력결과,SD_MAX_TM,최심 적설 시각 (시분),
ASOS일조회,출력결과,TE_10,1.0m 지중온도 (C),
ASOS일조회,출력결과,TE_30,3.0m 지중온도 (C),
ASOS일조회,출력결과,SI_60M_MAX,최대 1시간일사 (MJ/m2),
ASOS일조회,출력결과,RN_60M_MAX,1시간 최다강수량 (mm),
ASOS일조회,출력결과,RN_10M_MAX,10분간 최다강수량 (mm),
ASOS일조회,출력결과,RN_POW_MAX,최대 강우강도 (mm/h),
ASOS일조회,출력결과,STN,국내 지점번호,
ASOS일조회,출력결과,CA_TOT,전운량 (1/10),
ASOS일조회,출력결과,WR_DAY,일 풍정 (m),
ASOS일조회,출력결과,WS_MAX,최대풍속 (m/s),
ASOS일조회,출력결과,WD_INS,최대순간풍향,
ASOS일조회,출력결과,WS_INS_TM,최대순간풍속 시각 (시분),
ASOS일조회,출력결과,TA_MAX,최고기온 (C),
ASOS일조회,출력결과,TA_MIN,최저기온 (C),
ASOS일조회,출력결과,TD_AVG,일 평균 이슬점온도 (C),
ASOS일조회,출력결과,TG_MIN,일 최저 초상온도 (C),
ASOS일조회,출력결과,HM_MIN,최저습도 (%),
ASOS일조회,출력결과,PV_AVG,일 평균 수증기압 (hPa),
ASOS일조회,출력결과,EV_L,대형 증발량 (mm),
ASOS일조회,출력결과,PA_AVG,일 평균 현지기압 (hPa),
ASOS일조회,출력결과,PS_MAX,최고 해면기압 (hPa),
ASOS일조회,출력결과,PS_MIN,최저 해면기압 (hPa),
ASOS일조회,출력결과,SS_DAY,일조합 (hr),
ASOS일조회,출력결과,SS_CMB,캄벨 일조 (hr),
ASOS일조회,출력결과,RN_D99,9-9 강수량 (mm),
ASOS일조회,출력결과,SD_NEW,최심 신적설 (cm),
ASOS일조회,출력결과,SD_MAX,최심 적설 (cm),
ASOS일조회,출력결과,TE_05,0.5m 지중온도 (C),
ASOS일조회,출력결과,TE_15,1.5m 지중온도 (C),
ASOS일조회,출력결과,TE_50,5.0m 지중온도 (C),
ASOS일조회,출력결과,SI_60M_MAX_TM,최대 1시간일사 시각,
ASOS일조회,출력결과,RN_60M_MAX_TM,1시간 최다강수량 시각,
ASOS일조회,출력결과,RN_10M_MAX_TM,10분간 최다강수량 시각 (시분),
ASOS일조회,출력결과,RN_POW_MAX_TM,최대 강우강도 시각 (시분),
ASOS기간조회,출력결과,TM,관측시각 (KST),
ASOS기간조회,출력결과,WD,풍향 (36방위),
ASOS기간조회,출력결과,GST_WD,돌풍향 (36방위),
ASOS기간조회,출력결과,GST_TM,돌풍속이 관측된 시각 (시분),
ASOS기간조회,출력결과,PS,해면기압 (hPa),
